Nome,Partido
Luiza Erundina,PSOL
Marcio Alvino,PR
Marco Bertaiolli,PSD
Marcos Pereira,PRB
Maria Rosas,PRB
Miguel Lombardi,PR
Milton Vieira,PRB
Nilto Tatto,PT
Orlando Silva,PC do B
Pastor Marco Feliciano,PODE
Paulinho da Força,SD
Paulo Freire Costa,PR
Paulo Teixeira,PT
Policial Katia Sastre,PR
Professor Luiz Flavio Gomes,PSB
Renata Abreu,PODE
Ricardo Izar,PP
Roberto Alves,PRB
Roberto de Lucena,PODE
Rodrigo Agostinho,PSB
Rosana Valle,PSB
Rui Falcão,PT
Sâmia Bomfim,PSOL
Samuel Moreira,PSDB
Tabata Amaral,PDT
Tenente Derrite,PP
Tiririca,PR
Vanderlei Macris,PSDB
Vicentinho,PT
Vinicius Carvalho,PRB
Vinicius Poit,NOVO
Vitor Lippi,PSDB
Bosco Costa,PR
Fábio Henrique,PDT
Fábio Mitidieri,PSD
Fabio Reis,MDB
Gustinho Ribeiro,SD
Joao Daniel,PT
Laercio Oliveira,PP
Valdevan Noventa,PSC
Carlos Henrique Gaguim,DEM
Celio Moura,PT
Dulce Miranda,MDB
Eli Borges,SD
Osires Damaso,PSC
Professora Dorinha,DEM
Tiago Dimas,SD
Vicentinho Junior,PR
